timestamp,flow_mgd,streamflow_cfs,rainfall_in,capacity_pct
2022-01-01,2173.4936340588524,3370,0.04,1811.2446950490437
2022-01-02,3439.3526629927537,5320,0.03,2866.127219160628
2022-01-03,4761.824749091277,7380,0.47,3968.1872909093977
2022-01-04,8925.863896947527,13800,0.05,7438.219914122939
2022-01-05,8783.973850636037,13600,0.85,7319.978208863364
2022-01-06,7764.383781680752,12000,0.02,6470.3198180672925
2022-01-07,6985.619045439763,10800,0.03,5821.349204533136
2022-01-08,6095.943103852522,9440,0.36,5079.952586543768
2022-01-09,5271.961339218338,8130,0.03,4393.301116015282
2022-01-10,5119.288905835467,7930,0.84,4266.074088196222
2022-01-11,4694.607888958688,7240,0.0,3912.1732407989066
2022-01-12,4485.759420172266,6950,0.96,3738.1328501435546
2022-01-13,4938.8348668988665,7650,0.23,4115.695722415721
2022-01-14,5377.984186746128,8310,0.01,4481.653488955108
2022-01-15,5223.43211178413,8070,0.17,4352.860093153442
2022-01-16,4729.46707051735,7340,0.35,3941.2225587644584
2022-01-17,4187.558923234242,6480,0.25,3489.632436028535
2022-01-18,4100.3965054696,6350,0.05,3416.997087891333
2022-01-19,4507.97351444516,6990,0.34,3756.6445953709667
2022-01-20,4886.612229057645,7540,0.39,4072.1768575480373
2022-01-21,5072.235307369469,7860,0.05,4226.862756141225
2022-01-22,5179.212901052495,8010,0.04,4316.010750877079
2022-01-23,4814.101493406793,7450,0.08,4011.7512445056614
2022-01-24,5001.791071486984,7740,0.01,4168.159226239153
2022-01-25,4973.145545192997,7680,0.1,4144.287954327498
2022-01-26,4780.357691150332,7390,0.06,3983.631409291944
2022-01-27,4214.1699502623005,6520,0.1,3511.80829188525
2022-01-28,3996.4014524324857,6190,0.04,3330.3345436937384
2022-01-29,3714.6889713193946,5740,0.52,3095.5741427661624
2022-01-30,3241.451466718875,5010,0.01,2701.2095555990627
2022-01-31,2821.1536248922907,4350,0.3,2350.9613540769087
2022-02-01,3104.3321840366807,4810,0.0,2586.9434866972338
2022-02-02,3209.3344073840026,4950,0.35,2674.4453394866687
2022-02-03,3238.9942955218594,5000,0.31,2699.161912934883
2022-02-04,5176.176876447698,7990,0.06,4313.480730373081
2022-02-05,13580.185104199016,21000,0.05,11316.820920165846
2022-02-06,25587.57077226948,39600,0.34,21322.9756435579
2022-02-07,22824.76350069634,35300,0.29,19020.636250580283
2022-02-08,16337.068116958577,25300,0.13,13614.223430798813
2022-02-09,12668.256660585055,19600,0.47,10556.880550487545
2022-02-10,10406.932101398143,16100,0.62,8672.443417831784
2022-02-11,8846.277738956616,13700,0.51,7371.898115797179
2022-02-12,7955.417411699107,12300,0.1,6629.514509749257
2022-02-13,7289.420957775952,11300,0.38,6074.517464813293
2022-02-14,6720.700267448505,10400,0.95,5600.583556207087
2022-02-15,6300.308032436678,9750,0.19,5250.256693697233
2022-02-16,5839.744674752072,9060,0.65,4866.453895626726
2022-02-17,5404.239798825336,8370,0.13,4503.53316568778
2022-02-18,5099.919413132535,7880,0.02,4249.932844277112
2022-02-19,5674.555902845294,8760,0.27,4728.796585704412
2022-02-20,9361.799435393492,14500,0.07,7801.499529494577
2022-02-21,10085.908417823894,15600,0.06,8404.923681519911
2022-02-22,8924.266563733836,13800,0.29,7436.88880311153
2022-02-23,7890.9765949856355,12200,0.01,6575.813829154696
2022-02-24,7233.182221199347,11200,0.11,6027.651850999455
2022-02-25,7706.983233968081,11900,0.14,6422.486028306735
2022-02-26,8008.537919363537,12400,0.27,6673.781599469615
2022-02-27,10021.345001532816,15500,0.19,8351.12083461068
2022-02-28,12416.19726035014,19200,0.17,10346.831050291783
2022-03-01,11309.933396421922,17500,0.11,9424.944497018269
2022-03-02,9820.198973019538,15200,0.11,8183.499144182949
2022-03-03,8709.48935185747,13500,0.2,7257.907793214558
2022-03-04,7689.355405894364,11900,0.06,6407.796171578636
2022-03-05,6917.683856408771,10700,0.0,5764.736547007309
2022-03-06,6302.779818281427,9760,0.3,5252.316515234522
2022-03-07,5732.860564942679,8880,0.02,4777.383804118899
2022-03-08,5330.33398026546,8250,0.25,4441.94498355455
2022-03-09,5276.484160718369,8170,0.04,4397.070133931974
2022-03-10,5379.151430427713,8330,0.36,4482.6261920230945
2022-03-11,5678.997523420445,8790,0.03,4732.497936183704
2022-03-12,6365.191834614511,9860,0.52,5304.326528845426
2022-03-13,6467.548247286852,10000,0.26,5389.623539405709
2022-03-14,6233.423844886322,9640,0.14,5194.519870738602
2022-03-15,6163.099381861639,9530,0.18,5135.916151551365
2022-03-16,6262.611493918278,9680,0.08,5218.842911598565
2022-03-17,6264.458262765985,9690,0.97,5220.38188563832
2022-03-18,6237.201772439266,9630,0.11,5197.668143699389
2022-03-19,6161.619877911636,9530,0.7,5134.68323159303
2022-03-20,6137.306301354234,9500,0.05,5114.421917795195
2022-03-21,6248.966633917102,9690,0.15,5207.472194930918
2022-03-22,5819.034989370548,9020,0.05,4849.195824475456
2022-03-23,5506.027049101653,8530,0.17,4588.355874251377
2022-03-24,5498.726367404745,8500,0.19,4582.271972837289
2022-03-25,5521.65367952715,8570,0.15,4601.378066272626
2022-03-26,5448.260981426682,8420,0.02,4540.217484522234
2022-03-27,5426.1078389544455,8400,0.03,4521.756532462038
2022-03-28,5736.424699653558,8880,0.46,4780.353916377964
2022-03-29,5443.657208023618,8410,0.06,4536.381006686349
2022-03-30,5082.200922019962,7850,0.0,4235.167435016635
2022-03-31,4897.17443481913,7580,0.2,4080.978695682608
2022-04-01,5204.341205472501,8040,0.03,4336.951004560418
2022-04-02,5726.156470889602,8850,0.01,4771.797059074668
2022-04-03,6659.523950154551,10300,0.02,5549.603291795459
2022-04-04,7621.403461569798,11800,0.78,6351.169551308166
2022-04-05,7237.497521824125,11200,0.37,6031.247934853437
2022-04-06,8919.95269030769,13800,0.1,7433.293908589741
2022-04-07,10211.727234972715,15800,0.35,8509.772695810596
2022-04-08,23714.65644135489,36700,0.07,19762.213701129076
2022-04-09,30042.14143880527,46500,0.82,25035.117865671058
2022-04-10,26310.100094893438,40700,0.16,21925.083412411197
2022-04-11,20295.947825872965,31400,0.0,16913.289854894138
2022-04-12,16225.412629597515,25100,0.03,13521.177191331262
2022-04-13,13252.590377818378,20500,0.54,11043.825314848647
2022-04-14,11174.934851393336,17300,1.85,9312.445709494448
2022-04-15,9698.40014961424,15000,0.0,8082.000124678532
2022-04-16,8539.75358328932,13200,0.0,7116.461319407767
2022-04-17,7557.032887905779,11700,0.0,6297.5274065881495
2022-04-18,6855.056694091893,10600,0.33,5712.547245076577
2022-04-19,7241.213097363027,11200,0.1,6034.344247802524
2022-04-20,7891.49528459321,12200,0.21,6576.246070494342
2022-04-21,8010.3108837732025,12400,0.15,6675.2590698110025
2022-04-22,8655.871581485631,13400,0.23,7213.226317904693
2022-04-23,8465.551022391797,13100,0.86,7054.625851993164
2022-04-24,8338.996869291572,12900,0.0,6949.164057742976
2022-04-25,8271.428315018435,12800,0.0,6892.8569291820295
2022-04-26,7901.028313760499,12200,0.01,6584.190261467083
2022-04-27,7368.082785463445,11400,0.61,6140.068987886205
2022-04-28,6526.900899144481,10100,0.01,5439.0840826204
2022-04-29,6098.731544175535,9410,0.52,5082.276286812946
2022-04-30,5880.5226652028905,9100,0.25,4900.435554335742
2022-05-01,5481.791753252698,8490,0.11,4568.159794377248
2022-05-02,5282.724843036883,8180,0.16,4402.270702530735
2022-05-03,5199.8002873131145,8040,0.0,4333.166906094262
2022-05-04,6922.6204364868,10700,0.12,5768.850363739
2022-05-05,7681.80462136052,11900,0.23,6401.503851133766
2022-05-06,13114.87183585773,20300,0.01,10929.059863214774
2022-05-07,28951.673017869307,44800,0.01,24126.394181557756
