timestamp,interceptor_flow_gpm
2022-01-01,1509370.5792075365
2022-01-02,2388439.3493005233
2022-01-03,3306822.7424244983
2022-01-04,6198516.59510245
2022-01-05,6099981.840719471
2022-01-06,5391933.181722744
2022-01-07,4851124.337110947
2022-01-08,4233293.822119807
2022-01-09,3661084.263346068
2022-01-10,3555061.7401635186
2022-01-11,3260144.367332422
2022-01-12,3115110.708452963
2022-01-13,3429746.4353464353
2022-01-14,3734711.2407959225
2022-01-15,3627383.4109612014
2022-01-16,3284352.132303715
2022-01-17,2908027.0300237793
2022-01-18,2847497.573242778
2022-01-19,3130537.1628091387
2022-01-20,3393480.714623364
2022-01-21,3522385.630117687
2022-01-22,3596675.6257308996
2022-01-23,3343126.0370880514
2022-01-24,3473466.021865961
2022-01-25,3453573.2952729147
2022-01-26,3319692.84107662
2022-01-27,2926506.9099043757
2022-01-28,2775278.7864114484
2022-01-29,2579645.118971802
2022-01-30,2251007.9629992186
2022-01-31,1959134.4617307575
2022-02-01,2155786.2389143617
2022-02-02,2228704.449572224
2022-02-03,2249301.5941124023
2022-02-04,3594567.275310902
2022-02-05,9430684.100138206
2022-02-06,17769146.36963158
2022-02-07,15850530.2088169
2022-02-08,11345186.192332344
2022-02-09,8797400.458739622
2022-02-10,7227036.181526488
2022-02-11,6143248.429830982
2022-02-12,5524595.424791046
2022-02-13,5062097.887344412
2022-02-14,4667152.963505906
2022-02-15,4375213.91141436
2022-02-16,4055378.246355605
2022-02-17,3752944.304739817
2022-02-18,3541610.7035642606
2022-02-19,3940663.821420343
2022-02-20,6501249.607912147
2022-02-21,7004103.0679332595
2022-02-22,6197407.335926274
2022-02-23,5479844.857628914
2022-02-24,5023043.209166213
2022-02-25,5352071.690255611
2022-02-26,5561484.666224678
2022-02-27,6959267.362175567
2022-02-28,8622359.208576486
2022-03-01,7854120.414181891
2022-03-02,6819582.620152458
2022-03-03,6048256.494345465
2022-03-04,5339830.142982197
2022-03-05,4803947.122506091
2022-03-06,4376930.4293621015
2022-03-07,3981153.170099083
2022-03-08,3701620.8196287923
2022-03-09,3664225.111609978
2022-03-10,3735521.826685912
2022-03-11,3943748.2801530864
2022-03-12,4420272.107371189
2022-03-13,4491352.949504758
2022-03-14,4328766.558948834
2022-03-15,4279930.126292805
2022-03-16,4349035.759665471
2022-03-17,4350318.238031934
2022-03-18,4331390.11974949
2022-03-19,4278902.692994191
2022-03-20,4262018.264829329
2022-03-21,4339560.162442432
2022-03-22,4040996.520396214
2022-03-23,3823629.895209481
2022-03-24,3818559.977364406
2022-03-25,3834481.7218938544
2022-03-26,3783514.570435195
2022-03-27,3768130.4437183654
2022-03-28,3983628.2636483037
2022-03-29,3780317.505571957
2022-03-30,3529306.1958471956
2022-03-31,3400815.579735507
2022-04-01,3614125.837133682
2022-04-02,3976497.54922889
2022-04-03,4624669.4098295495
2022-04-04,5292641.292756804
2022-04-05,5026039.945711198
2022-04-06,6194411.590491451
2022-04-07,7091477.24650883
2022-04-08,16468511.417607563
2022-04-09,20862598.221392546
2022-04-10,18270902.843675997
2022-04-11,14094408.212411784
2022-04-12,11267647.65944272
2022-04-13,9203187.762373874
2022-04-14,7760371.424578706
2022-04-15,6735000.103898777
2022-04-16,5930384.432839805
2022-04-17,5247939.505490124
2022-04-18,4760456.037563815
2022-04-19,5028620.206502102
2022-04-20,5480205.058745285
2022-04-21,5562715.891509169
2022-04-22,6011021.931587244
2022-04-23,5878854.876660971
2022-04-24,5790970.048119147
2022-04-25,5744047.440985025
2022-04-26,5486825.217889235
2022-04-27,5116724.156571837
2022-04-28,4532570.068850334
2022-04-29,4235230.2390107885
2022-04-30,4083696.295279785
2022-05-01,3806799.828647707
2022-05-02,3668558.9187756125
2022-05-03,3610972.4217452183
2022-05-04,4807375.303115834
2022-05-05,5334586.542611472
2022-05-06,9107549.886012312
2022-05-07,20105328.484631464
2022-05-08,43981547.81005901
2022-05-09,45784121.25999968
2022-05-10,27460092.138838958
2022-05-11,18585101.408843756
2022-05-12,14046874.194766285
2022-05-13,11265406.31785551
2022-05-14,9336146.121245326
2022-05-15,8037520.966523927
2022-05-16,7537849.800459889
2022-05-17,7450631.22599343
2022-05-18,7132244.799425748
2022-05-19,6591453.087906809
2022-05-20,6196554.279669403
2022-05-21,5655118.475236397
2022-05-22,5348947.428153058
2022-05-23,6495595.184428008
2022-05-24,5164668.054310041
2022-05-25,4538374.2747103805
2022-05-26,4077457.4647145006
2022-05-27,3956204.281201546
2022-05-28,5074902.211157404
2022-05-29,5074963.923303581
2022-05-30,5786441.4149262775
2022-05-31,5789446.678532916
2022-06-01,5025389.420798396
2022-06-02,4581261.407705826
2022-06-03,4352824.302775959
2022-06-04,3704050.080833456
2022-06-05,3262514.4767459026
2022-06-06,2916444.28691497
2022-06-07,2644854.325281089
2022-06-08,2584345.347818135
2022-06-09,2967353.0212781173
2022-06-10,2507052.6218066704
2022-06-11,2333764.9992933176
2022-06-12,2590143.855058946
2022-06-13,2596275.5006339843
2022-06-14,2502463.7628956027
2022-06-15,2332643.4818452615
2022-06-16,2230844.688953398
2022-06-17,2323725.214405559
2022-06-18,2110989.3352616853
2022-06-19,1857605.807108443
2022-06-20,1673625.0016310795
2022-06-21,1539069.436979402
2022-06-22,1536621.8315044336
2022-06-23,2218886.5364422956
2022-06-24,2123924.7558193044
2022-06-25,2836124.5386587204
2022-06-26,2355369.117343897
2022-06-27,2038010.8301803053
2022-06-28,2074649.0549028662
2022-06-29,2249376.7251621177
2022-06-30,1865712.7539560276
2022-07-01,1765634.656682631
2022-07-02,1909447.1031045413
2022-07-03,2312900.520277251
2022-07-04,1975582.1729352293
2022-07-05,1603867.7954404321
2022-07-06,1518805.6334801738
2022-07-07,1516598.3562663347
2022-07-08,1635288.6399370502
2022-07-09,4086646.490072904
2022-07-10,2066669.9509000308
2022-07-11,1782699.345660341
2022-07-12,1712086.3224563105
2022-07-13,1889887.906427819
2022-07-14,1828518.7126853946
2022-07-15,1848248.9661014539
2022-07-16,1610534.6487300156
2022-07-17,1398972.1372802905
2022-07-18,1379102.706070132
2022-07-19,1896959.4972149394
2022-07-20,1921267.3950981773
2022-07-21,1644814.046793553
2022-07-22,1561675.1576107414
2022-07-23,1376691.0047059357
2022-07-24,1221555.0600890266
